,0,1,2,3,4,5,6,7,8,9,10
2, Fairmount Room with Deck, Baltimore,26,1  , 1  , 0  , 1 shared bath,Wifi , Kitchen , Heating,None
3, Kay's Colonial style home 1person per room, Baltimore,32,1  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
4, Semi detached beautiful home in Baltimore City, Baltimore,50,2  , 2  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
5, Basic Crash Pad 4  $200 Weekly, Baltimore,22,2  , 1  , 1  , 2 shared baths,Wifi , Kitchen , Heating,None
6, Near Harbor  Stadium  Johns Hopkins BALTIMORE, Baltimore,22,2  , 1  , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None
7, 3Comfortable Living 4 Grad Students, Baltimore,16,1  , 1  , 0  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
8, Fun and Cozy, Severn,52,2  , 1  , 1  , 1 bath,Wifi , Heating,None,None
9, Efficiency unit, Baltimore,38,2  , 1  , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
10, Brand new studio apartment in Upper Fells, Baltimore,31,2  , Studio , 1  , 1 bath,Wifi , Kitchen , Heating,None
11, Charming Art Filled House   Skylight Room, Baltimore,35,1  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
12, Quiet Retreat: private bed bath  and seating area, Baltimore,36,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
13, Private room close to major hospitals colleges, Baltimore,35,2  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Heating,None
14, BLUE Private Bedroom with Shared Bathroom, Catonsville,24,2  , 1  , 1  , 2.5 shared baths,Wifi , Free parking , Kitchen , Heating
15, (6) nice bedroom next to Johns Hopkins university, Baltimore,42,2  , 1  , 1  , 2.5 shared baths,Wifi , Free parking , Kitchen , Heating
16, Colorful  Comfortable & Convenient, Baltimore,35,2  , 1  , 1  , 1 private bath,Wifi , Kitchen , Heating,None
17, Beautiful Bungalow In Charming Beverly Hills, Baltimore,43,4  , 1  , 1  , 1 bath,Wifi , Free parking , Heating,None
18, Cozy private bedrooms near JH, Baltimore,27,1  , 1  , 1  , 1.5 baths,Wifi , Heating,None,None
19, Your Sweet Studio Away From Home @ Charles Village, Baltimore,54,3  , Studio , 2  , 1 bath,Wifi , Heating,None,None
0, Entire Gorgeous Guest Unit (w Private Bath), Baltimore,62,2  , Studio , 1  , 1 bath,Self check-in , Wifi , Air conditioning,None
1, BALTIMORE   Inner Harbor  Johns Hopkins  Medstar, Baltimore,20,2  , 1  , 1  , 1.5 shared baths,Self check-in , Wifi , Air conditioning , Pets allowed
2, Lovely  convenient condo in perfect location, Baltimore,55,2  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Elevator
3, Ralworth Apt A, Baltimore,52,2  , 2  , 1  , 1 bath,Kitchen , Free parking,None,None
4, 1 luxury living for grad students, Baltimore,18,1  , 1  , 1  , 1 shared bath,Self check-in , Wifi , Air conditioning , Washer
5, master suite with balcony in fells point, Baltimore ,45,2  , 1  , 1  , 1 shared bath,Self check-in , Wifi , Air conditioning , Washer
6, Spacious living space, Baltimore,32,4  , 1  , 1  , 1 private bath,Self check-in , Wifi , Pets allowed , Washer
7,  BEAUTIFUL water views Smart TV Gym Full Kitchen , Baltimore,164,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Elevator , Gym
8, A Living Canvas, Baltimore,42,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Pets allowed , Washer
9, 1 room with a queen size bed, Columbia,28,1  , 2  , 1  , 1 private bath,Wifi , Air conditioning , Pets allowed , Washer
