,0,1,2,3,4,5,6,7,8,9,10,11,12
6, Luxurious Cozy Accommodation near Center City,Private room, Francisville,34,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning,None,https://airbnb.com/rooms/16561455?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
7, Mearns House: A Beautiful Mt  Airy Carriage House,Entire house, Northwest Philadelphia,86,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/33486353?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
8, BEAUTIFUL SPACE for your COMFORT,Private room, West Philadelphia,34,1  , 1  , 1  , 1 shared bath,Wifi , Indoor fireplace , Air conditioning , Free parking,https://airbnb.com/rooms/40983564?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
9, Near PHILA and transport 226B3,Private room, Overbrook Park,20,1  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/6938874?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
10, Charming 1BD Hacienda w  Roof Deck and City View,Entire house, Passyunk Square,40,5  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/39167403?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
11, A very quiet cozy place to rest to the fullest,Private room, South Philadelphia,25,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Washer , Dryer,https://airbnb.com/rooms/39000946?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
12, Apple Hostels Philly 18 bed Male Dorm B,Hotel room, Old City,34,2  , 1  , 0  , 4 baths,Wifi , Air conditioning , Washer , Dryer,https://airbnb.com/rooms/9901109?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
13, Basement bedroom in West Philly house,Private room, University City,20,1  , 1  , 1  , 1 private bath,Wifi , Washer , Dryer , Kitchen,https://airbnb.com/rooms/34625330?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
14, Old Philadelphia Charm In Graduate Hospital,Private room, South Philadelphia,37,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/19477166?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
15, Private Apt in Historic Filter Square Townhouse,Entire townhouse, Center City,45,1  , 1  , 1  , 1.5 baths,Wifi , Pets allowed , Air conditioning,None,https://airbnb.com/rooms/36478492?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
16, Light filled  Spacious Room in Art Museum Area,Private room, Fairmount,30,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Dishwasher , Kitchen,https://airbnb.com/rooms/43594866?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
17, Serene Work Oasis   Perfect Hideaway (Olney),Private room, Olney,25,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Free parking , Kitchen,https://airbnb.com/rooms/46774261?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
18, The Coachman's House,Entire place, Northwest Philadelphia,70,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Free parking,None,https://airbnb.com/rooms/20896116?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
19, Comfy and Cozy Rittenhouse Retreat   Steps from the Park!,Entire apartment, Center City,58,3  , 1  , 2  , 1 bath,Wifi , Air conditioning , Dishwasher , Kitchen,https://airbnb.com/rooms/46728168?previous_page_section_name=1000&federated_search_id=c6359d12-ac4c-4c91-b20f-cd8b4ec1536e
