,0,1,2,3,4,5,6,7,8,9,10,11,12
10, One Bedroom with Panoramic Views of Cambridge,Entire apartment, Cambridge,115,3  , 1  , 1  , 1 bath,Gym , Wifi , Pets allowed , Dryer,https://airbnb.com/rooms/46602128?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
11, Luxury 1BR APT w  parking by MIT Harvard BU Fenway,Entire apartment, Cambridge,126,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/34944649?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
12, Watermark Seaport,Entire serviced apartment, South Boston,134,1  , Studio , 1  , 1 bath,Gym , Elevator , Wifi , Dryer,https://airbnb.com/rooms/46925207?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
13, Cozy room with private porch,Private room, Dorchester,30,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Dryer , Washer,https://airbnb.com/rooms/21661811?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
14,   Clean  Modern & Bright   Great Location  ,Private room, East Boston,44,2  , 1  , 1  , 2.5 shared baths,Wifi , Self check-in , Air conditioning , Kitchen,https://airbnb.com/rooms/22327139?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
15, Q3 Casa da tia Simone,Private room, Watertown,35,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning , Free parking , Dryer,https://airbnb.com/rooms/38284827?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
16, Fully Furnished Private Room in Harvard Square,Room, boutique hotel Cambridge,54,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Dryer , Washer,https://airbnb.com/rooms/41273964?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
17, Private Rm  5 Min Walk to Harvard  1 Month Minimum,Private room, Cambridge,40,2  , 1  , 1  , 1.5 shared baths,Wifi , Self check-in , Air conditioning , Kitchen,https://airbnb.com/rooms/34127139?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
18,  2 Double beds 4mi to Downtown near subway freepk ,Private room, Dorchester,39,4  , 1  , 2  , 2 shared baths,Wifi , Self check-in , Air conditioning , Dryer,https://airbnb.com/rooms/19123216?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
19, #4   12 HOUR RENTAL NO PARKING  READ LISTING,Private room, Somerville,27,1  , 1  , 1  , 1 shared bath,Wifi , Kitchen,None,None,https://airbnb.com/rooms/21229815?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
